idx,angdist_arcsec,qso_name,qso_type,qso_ra,qso_dec,qso_z
61748,120.886324,SDSS J144620.10+160949.2,Q,221.5837598,16.1636776,1.4509999752044678
71749,99.169081,SDSS J010801.15-013048.9,Q,17.0047836,-1.5135948,1.027999997138977
41748,116.733515,J122126.22+092242.1,R,185.3592814,9.3783646,0.4000000059604645
31761,43.231473,WISEA J230952.58+293951.4,q,347.4689982,29.6643926,1.899999976158142
31761,149.441327,SDSS J231000.76+293825.7,Q,347.5031806,29.6404826,2.7230000495910645
71750,68.01695,SDSS J011742.73+000944.0,Q,19.4280492,0.1622488,0.8799999952316284
71750,165.771434,SDSS J011735.16+001030.0,QX,19.3965036,0.1749891,0.7940000295639038
41750,111.570559,LAMOSTJ123119.28+095036.0,Q,187.8303271,9.8433533,2.4110000133514404
41750,122.564499,WISEA J123121.99+095049.6,q,187.8416661,9.8471448,0.4000000059604645
61750,77.251032,SDSS J143828.73+180820.0,Q,219.6196917,18.1388988,1.75
31762,158.286768,J231045.60+302327.3,R,347.69,30.3909167,
61751,172.403478,SDSS J143538.68+154459.9,Q,218.911183,15.749979,3.0789999961853027
31763,163.346909,SDSS J231005.36+291600.9,Q,347.5223671,29.2669232,1.9279999732971191
61752,146.163238,SDSS J143909.69+091443.9,Q,219.7903865,9.2455322,0.8379999995231628
31764,40.351822,SDSS J002840.95-023005.5,Q,7.1706628,-2.5015305,2.690000057220459
31764,87.970457,WISEA J002843.26-022847.0,q,7.180258,-2.479693,2.5
61753,71.067546,SDSS J145111.51+085757.8,QR2,222.7979882,8.9660671,1.3559999465942383
61753,165.771767,SDSS J145111.36+090059.6,Q,222.7973638,9.0165559,2.441999912261963
91718,69.164011,SDSS J220232.50+082847.2,Q,330.6354367,8.4797861,0.8610000014305115
71754,120.588471,SDSS J013624.70+132603.5,Q,24.1029261,13.4343278,1.2450000047683716
71754,165.724704,SDSS J013621.43+132400.8,Q,24.0893043,13.4002334,1.25
61754,143.219677,SDSS J145042.09+084455.3,Q,222.6753915,8.7486855,0.781000018119812
31765,176.033046,FBQS J00346-0143,QR,8.6594788,-1.7189968,0.9409999847412109
71755,103.243527,SDSS J013148.48+130937.4,Q,22.9520189,13.1603973,3.003000020980835
91719,174.073908,SDSS J220720.88+092244.5,Q,331.8370153,9.3790192,2.36299991607666
61755,91.232451,SDSS J143954.36+083421.5,Q,219.9765307,8.5726665,2.0920000076293945
31766,125.309733,SDSS J003018.67-042315.5,Q,7.5778063,-4.3876194,1.8359999656677246
11699,123.144034,WISEA J034213.99-214159.2,q,55.558339,-21.6998039,1.7999999523162842
71756,60.147101,WISEA J022613.30+211556.4,q,36.5554467,21.2656773,1.5
11700,153.872938,WISEA J052242.29+785110.0,q,80.6756335,78.8528215,1.100000023841858
11700,154.032405,J052334.10+785406.0,2,80.8921238,78.9016732,0.20000000298023224
51764,50.608024,SDSS J125345.62+270134.7,qX,193.4401065,27.0263223,1.7999999523162842
51764,116.284318,SDSS J125342.33+270412.6,qX,193.4263763,27.0701828,1.2000000476837158
51764,171.069293,SDSS J125332.60+270050.3,Q,193.3858423,27.0139995,2.0450000762939453
1800,124.598945,SDSS J234509.77+195717.8,Q,356.2906927,19.9549661,2.1679999828338623
1800,149.705147,SDSS J234454.28+195623.9,Q,356.2262118,19.9399974,3.260999917984009
91721,57.849352,SDSS J003859.50+300638.5,Q,9.7479244,30.110719,1.4889999628067017
91721,104.843897,SDSS J003909.30+300559.8,Q,9.7887982,30.0999629,1.468999981880188
31769,167.786041,SDSS J010420.99-081032.1,Q,16.0874692,-8.1756038,1.8849999904632568
61759,142.678977,WISEA J170051.67+512221.8,q,255.2153829,51.3727873,0.5
91722,116.526096,SDSS J003855.49+295954.0,Q,9.7312285,29.998329,3.0940001010894775
31770,176.068946,SDSS J010757.05-065251.7,qR,16.987755,-6.8810402,0.5
1801,117.449828,SDSS J235548.45+211421.5,Q,358.9518808,21.2393244,0.8519999980926514
81741,101.365545,WISEA J210259.27-353622.1,q,315.7469707,-35.6061792,1.0
51766,65.378441,US 237,Q,196.2872643,28.6211944,1.6829999685287476
51766,125.908422,SDSS J130518.09+283817.1,Q,196.3253937,28.6380654,2.869999885559082
61760,153.65819,WISEA J171536.50+173858.2,qX,258.9021559,17.6494793,1.100000023841858
71759,156.35012,WISEA J023208.02+215746.4,q,38.0334098,21.9628712,0.800000011920929
91723,163.649714,SDSS J002929.91+320150.1,Q,7.374611,32.0305813,1.8300000429153442
21825,93.743532,SDSS J142813.43+411341.7,N,217.05596,41.228252,0.5249999761581421
21825,95.810444,SDSS J142812.83+411650.5,Q,217.0534702,41.2807204,0.9919999837875366
21825,162.694869,SDSS J142819.09+411746.6,Q,217.0795706,41.2962752,1.2280000448226929
1803,78.780618,SDSS J234759.86+184908.9,Q,356.9994048,18.8191425,1.6150000095367432
1803,134.333479,SDSS J234802.28+185237.2,Q,357.0095246,18.877008,2.7920000553131104
81744,72.886138,SDSS J222708.63+205219.2,Q,336.7859928,20.872005,2.2269999980926514
81744,173.177806,WISEA J222723.40+205427.5,q,336.8475647,20.9076309,0.699999988079071
1804,103.836875,WISEA J102459.98-351638.1,q,156.2498407,-35.2773179,2.0
71763,164.090405,WISEA J024123.40+085738.1,q,40.3475215,8.9606022,0.4000000059604645
41764,111.218488,WISEA J150627.90-125423.7,qR,226.6163051,-12.9065972,0.5
91726,133.030326,WISEA J010415.96-181633.1,q,16.0665414,-18.2759318,0.6000000238418579
91726,150.715488,WISEA J010416.93-181616.4,q,16.0705446,-18.2712132,1.399999976158142
91726,156.754789,J010357.35-181821.5,R,15.9889735,-18.3059907,0.6000000238418579
81745,118.888911,SDSS J221805.64+214543.4,Q,334.5235133,21.762078,1.3899999856948853
71764,167.720295,US 3532,QR,45.4088776,1.6374929,1.5779999494552612
71765,91.571566,SDSS J025034.31+010154.2,Q,42.6429965,1.0317473,1.4570000171661377
81747,145.274006,SDSS J221800.89+223054.0,Q,334.503694,22.5150652,1.1390000581741333
41768,162.762391,SDSS J154704.71+303457.1,Q,236.7696648,30.5825346,2.3919999599456787
81748,55.450961,WISEA J231727.90+243958.0,qR,349.3662865,24.6661151,0.6000000238418579
71767,90.106422,SDSS J030142.22+000655.2,QX,45.4259583,0.115348,0.6069999933242798
71767,116.837449,SDSS J030148.38+000753.1,QX,45.4516172,0.1314445,2.2219998836517334
1811,169.423988,WISEA J103618.88-362749.3,q,159.0787337,-36.4637139,1.0
11708,87.471774,WISEA J132929.39+082640.0,q,202.372458,8.4444626,0.8999999761581421
11708,175.714577,SDSS J132938.30+082657.0,Q,202.4095766,8.4492003,2.252000093460083
31780,122.117274,WISEA J114601.75+172012.1,q,176.5072963,17.336722,2.4000000953674316
51777,71.912242,SDSS J230537.05+242509.0,Q,346.4043821,24.4191774,2.259000062942505
91732,41.154129,WISEA J020659.63+292501.1,qX,31.7484745,29.4169798,2.5
41771,79.365673,SDSS J155324.98+315206.0,Q,238.3541119,31.8683509,0.5389999747276306
41771,154.820678,PSJ1553+3149,Q,238.4093842,31.8253044,2.549999952316284
51778,140.160533,SDSS J231745.29+243525.7,Q,349.4387353,24.5904974,1.8270000219345093
81751,106.366561,SDSS J232111.66+225929.0,Q,350.298575,22.9913894,0.9070000052452087
21835,53.022815,J021520.91+163021.7,R,33.837165,16.5060441,
21835,100.344015,WISEA J021518.89+162925.7,q,33.8287365,16.4905167,0.6000000238418579
91733,177.732204,J020722.63+292727.8,X,31.8443056,29.4577223,
1815,155.445459,WISEA J035949.48+753156.7,q,59.9562578,75.5324629,2.0
1815,165.934678,WISEA J035945.46+753154.8,q,59.9394232,75.5318901,0.20000000298023224
31783,30.630402,SDSS J113331.53+173318.4,Q,173.3814061,17.5551206,0.8240000009536743
51779,86.147092,SDSS J230850.95+252144.7,Q,347.2123171,25.3624236,2.1619999408721924
91734,128.968784,SDSS J020800.21+292605.5,QX,32.0009003,29.4348973,1.4769999980926514
71773,161.749995,WISEA J044309.32-553414.0,q,70.7888323,-55.570571,0.20000000298023224
71773,171.80772,WISEA J044306.17-553630.0,q,70.7757659,-55.6083165,1.5
1817,167.075171,SDSS J085820.47+042355.0,Q,134.5853041,4.3986181,0.5379999876022339
31785,158.10965,2QZ J123310.1+010747,Q,188.2921323,1.1300495,1.2890000343322754
61774,40.619649,WISEA J181304.00-765231.3,q,273.2670035,-76.8753844,0.20000000298023224
61774,161.513043,WISEA J181259.39-765020.8,q,273.2476449,-76.839022,2.799999952316284
