idx,angdist_arcsec,qso_name,qso_type,qso_ra,qso_dec,qso_z
18289,102.555446,WISEA J172457.89+565129.6,q,261.2413219,56.8582646,1.100000023841858
18294,71.226826,Q 2117-4620,Q,320.3166283,-46.1330244,2.884000062942505
7658,155.309362,WISEA J120143.57+223323.8,qR,180.4315917,22.5566096,0.3009999990463257
18297,46.669581,WISEA J224836.06-365524.3,q,342.1503146,-36.9233085,1.399999976158142
7659,0.816014,UGC 8621,ARX,204.4161414,39.154594,0.019999999552965164
7659,105.847103,SDSS J133746.76+390806.6,QX,204.444848,39.135169,1.8559999465942383
7659,109.760745,J133739.21+391106.1,X,204.4133889,39.1850278,
18299,144.714696,WISEA J042835.90-465817.8,q,67.1496966,-46.9713925,2.5
7662,107.913634,SDSS J111131.03+470026.9,Q,167.8793018,47.0074727,1.468999981880188
7662,170.726215,SDSS J111143.99+470153.3,Q,167.9333019,47.0314857,2.565999984741211
18301,150.35745,SDSS J075144.45+271810.1,A,117.9352079,27.302822,0.5249999761581421
18302,0.303593,MCG 3-24-024,ARX,139.1430098,17.9190078,0.027000000700354576
18303,173.8151,WISEA J101437.81+641945.4,q,153.6575461,64.3293005,0.699999988079071
18305,152.626285,SDSS J104437.17+582936.9,Q,161.1549414,58.4936095,3.6659998893737793
18308,81.211137,LAMOSTJ135759.85+214745.7,Q,209.4993703,21.7960238,1.343999981880188
18309,18.987217,SDSS J003331.08+225351.6,Q,8.3795153,22.8977005,2.058000087738037
7672,131.86113,SDSS J004429.81-034428.9,Q,11.1242367,-3.7413728,1.7979999780654907
7672,163.759,SDSS J004443.92-034745.9,Q,11.1830286,-3.7960752,1.3609999418258667
7675,146.030014,SDSS J105437.59+172206.1,QX,163.656671,17.3683541,0.2150000035762787
18314,135.565708,WISEA J081252.80+092502.7,q,123.2200054,9.4174286,2.200000047683716
18316,131.797927,SDSS J101857.93+344033.2,Q,154.7414127,34.6758892,1.2769999504089355
18317,146.014541,WISEA J103036.41-350523.4,q,157.6517252,-35.089891,0.20000000298023224
7684,63.731879,SDSS J105342.46+504613.9,QR,163.4269514,50.7705315,1.8079999685287476
7684,114.424607,SDSS J105331.71+504436.1,Q,163.3821689,50.7433676,0.4339999854564667
18327,54.305628,SDSS J011609.95+251049.1,Q,19.0414645,25.180308,1.4520000219345093
7687,1.010288,NGC 6027A,NRX,239.7966004,20.7543811,0.014000000432133675
7687,162.646298,WISEA J155920.20+204657.8,qX,239.8341946,20.782739,0.800000011920929
18328,178.445895,LAMOSTJ022916.49+064904.3,Q,37.3186799,6.8178334,0.6349999904632568
18329,96.862531,SDSS J031756.91-003138.9,Q,49.4871344,-0.5275106,1.7259999513626099
7689,101.940238,J025336.93+414157.3,X,43.4038889,41.69925,
18330,147.46751,WISEA J075541.79-723806.9,q,118.9247825,-72.63544,0.20000000298023224
7690,136.366575,SDSS J121246.05+464833.4,Q,183.1918799,46.809284,1.3660000562667847
18332,62.890931,SDSS J112209.94+241737.6,QX,170.5414182,24.2937739,3.3350000381469727
18332,97.801778,SDSS J112211.58+241629.9,QX,170.5482705,24.2749825,1.3350000381469727
18332,113.662687,J112217.63+241944.5,X,170.5734723,24.3290278,
18332,121.527404,J112218.41+241613.8,X,170.5767223,24.2705,
7691,162.263869,WISEA J132632.77-193737.6,q,201.6365831,-19.6271078,0.8999999761581421
18334,101.016235,J125427.94+273910.5,X,193.6164512,27.6529171,0.5
7693,84.042898,SDSS J001200.81-002425.2,Q,3.0033923,-0.4070051,2.2660000324249268
7693,166.401981,SDSS J001209.19-002215.1,Q,3.0383545,-0.3708507,1.875
18335,162.652966,WISEA J143932.01+091648.5,q,219.8833805,9.2800876,0.4000000059604645
18335,166.201909,SDSS J143920.53+091354.9,Q,219.8355727,9.2319644,1.055999994277954
18336,146.2551,PGC 1437727,A,231.4460216,13.6885094,0.09200000017881393
7695,18.916838,SDSS J025039.37+204116.2,qR,42.6640661,20.687837,0.800000011920929
18337,142.069508,WISEA J154936.39+283404.4,q,237.4019374,28.5680089,0.8999999761581421
18340,76.89174,J224610.36+101042.8,R,341.5431945,10.1785556,
18340,109.705955,SDSS J224619.61+101035.2,Q,341.5817491,10.1764635,2.611999988555908
7698,140.034025,J071046.74+484141.3,R,107.6947551,48.6948302,0.30000001192092896
18341,108.083597,SDSS J231501.32+012754.1,Q,348.7555362,1.4650345,0.6940000057220459
7701,23.058768,WISEA J130028.98-441446.6,q,195.1204731,-44.2464364,0.5
7703,108.287219,1WGA J1338.4+2646,QX,204.6231514,26.7673907,0.597000002861023
7703,156.582731,SDSS J133822.42+264200.2,Q,204.5934671,26.7000488,2.430999994277954
18348,168.123645,WISEA J080235.59+564451.8,q,120.6482165,56.7477143,1.899999976158142
7708,100.64186,SDSS J102535.67-021435.3,Q,156.3986609,-2.2431452,3.5969998836517334
7711,109.78939,SDSS J140235.92+143447.3,Q,210.6496995,14.5798305,2.556999921798706
18359,178.225508,WISEA J021203.64+294536.0,q,33.0152197,29.7599205,0.30000001192092896
18365,124.547875,SDSS J091907.44+340037.2,Q,139.7810026,34.0103381,1.5540000200271606
7718,81.276518,SDSS J092056.01+131102.7,Q,140.233379,13.1840811,2.4200000762939453
7718,86.155848,SDSS J092056.24+131057.4,Q,140.2343273,13.1826333,2.430000066757202
7720,71.951626,SDSS J130600.57+035617.6,AX,196.5024071,3.9382475,0.2709999978542328
7720,154.506253,SDSSp J130608.26+035626.3,QX,196.5343889,3.9406389,5.989999771118164
7721,163.015515,2QZ J133137.4-023534,Q,202.9059209,-2.5933562,0.4950000047683716
18370,98.004749,SDSS J105940.31+332434.3,Q,164.9179941,33.4095304,2.128000020980835
18370,122.06223,SDSS J105945.28+332532.0,Q,164.9386836,33.4255733,2.492000102996826
7723,0.161798,NGC 5528,N,214.0830241,8.2934921,0.024000000208616257
7723,130.799635,SDSS J141624.43+081544.0,Q,214.1018329,8.262237,1.3109999895095825
7724,21.047986,SDSS J162525.05+395156.9,QX,246.35443,39.8658023,1.0740000009536743
7724,35.434239,J162528.93+395227.4,X,246.3705661,39.8742806,0.5
18375,145.465411,J161430.30-222424.2,X,243.6262814,-22.4067315,0.30000001192092896
7726,69.467456,SDSS J230041.83+124711.6,N,345.17433,12.786565,0.15700000524520874
18376,42.415206,KUV 16180+3821,Q,244.9452739,38.2246742,1.1269999742507935
18376,144.650496,SDSS J161953.64+381222.9,Q,244.9735113,38.2063813,1.4819999933242798
7728,108.244801,WISEA J012126.07+403044.0,q,20.3586454,40.5122315,1.899999976158142
7728,110.967854,WISEA J012118.44+403106.2,q,20.3268563,40.5184146,2.0
18378,167.278201,WISEA J185659.04+602442.5,q,284.2462353,60.4118054,1.7999999523162842
18381,163.690465,SDSS J230920.83+150134.8,A,347.3368006,15.0263551,0.10000000149011612
18382,102.947525,J231407.90+314028.7,R,348.5329207,31.6746482,0.5
7733,59.585572,WISEA J080237.11+272515.9,q,120.6546559,27.4210838,3.0999999046325684
7734,169.131108,SDSS J083251.26+001616.7,Q,128.2136012,0.2713286,2.6419999599456787
18386,124.091737,SDSS J084717.30+193816.7,Q,131.8221247,19.6379814,1.6799999475479126
18386,172.078521,SDSS J084656.82+193829.6,Q,131.7367557,19.641558,0.953000009059906
7735,86.962526,NGC 2783,ARX,138.4144603,29.9929601,0.023000000044703484
