idx,angdist_arcsec,qso_name,qso_type,qso_z,qso_xname,qso_rname
1015,29.638496,WISEA J140314.10-450410.7,q,0.20000000298023224,,
50994,80.037618,SDSS J004052.44+224227.2,QR,1.4420000314712524,,VL0J004052.42+224227.0
80970,72.125126,SDSS J113015.12+560339.8,Q,2.5309998989105225,,
60974,84.605541,WISEA J135001.84-193556.9,q,1.2999999523162842,,
21043,158.736396,WISEA J024147.35-385430.0,q,1.899999976158142,,
50995,99.857429,SDSS J004325.43+242006.5,QR,1.0540000200271606,,NVSS J004325.3+242007
90962,176.230228,WISEA J105350.79-160544.7,q,0.30000001192092896,,
80972,132.200377,WISEA J130338.38-125822.1,q,1.0,,
1017,118.12266,WISEA J125634.03+745249.4,qX,0.20000000298023224,2RXS J125630.8+745305,
60977,149.790726,WISEA J135322.47+064511.5,q,0.4000000059604645,,
70994,175.578204,SDSS J005904.39+325231.0,Q,1.4980000257492065,,
1018,68.140097,J122912.13+753547.6,X,,CXOG J122911.6+753547,
1018,120.829846,J122849.19+753259.2,X,,CXOG J122849.4+753259,
60979,162.685411,WISEA J134938.29+041637.2,q,1.2000000476837158,,
60979,164.778601,WISEA J134926.84+042022.0,q,0.10000000149011612,,
21046,137.068223,WISEA J043732.27+013850.6,q,1.0,,
60980,139.762994,SDSS J141746.90+354628.7,Q,2.0260000228881836,,
11008,160.114262,2SLAQ J231413.30-004518.9,Q,1.4299999475479126,,
11008,175.416552,SDSS J231403.00-004622.4,Q,1.156000018119812,,
90966,78.423832,SDSS J111347.70+023830.3,QX,1.1610000133514404,4XMM J111347.7+023829,
90966,111.508375,SDSS J111349.70+023923.4,qX,1.0,4XMM J111349.8+023925,
90966,161.493071,J111335.05+023654.2,X,,4XMM J111334.9+023651,
51001,160.818061,SDSS J011953.55+081325.8,Q,2.1659998893737793,,
51001,178.88434,SDSS J011944.18+081341.0,Q,1.4220000505447388,,
60981,58.589087,AGES J143152.51+351013.5,QX,0.9020000100135803,CXO J143152.5+351013,
90967,151.240715,Q 1100.2+0152,Q,2.73799991607666,,
31029,106.966102,WISEA J063827.00-680538.1,q,0.20000000298023224,,
60982,144.622314,AGES J142725.14+335601.5,QX,2.365999937057495,CXOG J142725.1+335601,
60982,145.83692,AGES J142730.01+335540.9,QX,2.01200008392334,CXOG J142730.0+335540,
60982,178.221981,AGES J142731.51+335108.5,QX,1.6950000524520874,CXOG J142731.5+335108,
80980,159.72981,2QZ J001259.4-311709,Q,2.1760001182556152,,
51002,140.711573,SDSS J012810.36+100933.9,Q,1.2000000476837158,,
51002,149.548475,SDSS J012809.37+101201.3,Q,1.5049999952316284,,
11011,168.670246,SDSS J230811.79-032342.6,Q,2.625999927520752,,
31031,176.769983,WISEA J061701.25-700907.2,q,0.10000000149011612,,
60983,106.335111,SDSS J143023.93+342427.0,Q,1.6050000190734863,,
40996,88.733593,SDSS J125836.81+265821.7,qX,1.7999999523162842,4XMM J125836.8+265821,
40996,92.056946,SDSS J125828.77+265602.4,qX,0.4000000059604645,4XMM J125828.7+265602,
40996,102.498869,SDSS J125829.56+265904.9,qX,0.20000000298023224,4XMM J125829.6+265905,
40996,113.16241,SDSS J125838.31+265616.8,qR,1.5,,VL0J125838.30+265616.9
40996,146.519441,J125821.02+265802.8,X,2.299999952316284,4XMM J125821.0+265802,
1026,37.44033,WISEA J121956.07-391358.8,q,0.699999988079071,,
51003,178.050888,SDSS J012606.07+080742.4,Q,2.196000099182129,,
80982,162.81329,WISEA J001032.49-331358.9,q,0.800000011920929,,
31032,99.77481,WISEA J090338.29-125411.1,q,1.100000023841858,,
80983,144.201948,WISEA J000148.73-330354.1,q,1.2999999523162842,,
71003,45.403297,WISEA J030319.03-681651.8,q,1.100000023841858,,
80984,127.497345,WISEA J010042.40-094121.9,q,0.4000000059604645,,
60986,153.649148,SDSS J161002.82-010844.4,qX,0.8999999761581421,2SXPS J161002.7-010844,
31034,56.789951,WISEA J085626.80-103300.4,q,1.2999999523162842,,
11015,124.215767,WISEA J092156.67-190537.7,q,0.20000000298023224,,
21056,79.951291,SDSS J113508.39+250804.8,Q,2.446000099182129,,
71005,44.003864,WISEA J041007.72+031720.5,q,1.399999976158142,,
80985,97.666976,WISEA J005537.61-075631.5,q,1.899999976158142,,
