idx,subCl,spCl,e_zsp
9338,,,
39093,,GALAXY,2e-05
21174,,,
33106,,GALAXY,2e-05
74076,,GALAXY,1e-05
49540,STARFORMING,GALAXY,2e-05
71757,,GALAXY,2e-05
69414,STARFORMING,GALAXY,1e-05
39090,STARFORMING,GALAXY,1e-05
28652,,,
29447,,GALAXY,2e-05
45108,,,
32734,,,
37443,,,
22909,,GALAXY,3e-05
56610,,,
79600,STARFORMING,GALAXY,2e-05
4924,,GALAXY,2e-05
35699,,GALAXY,2e-05
32064,,GALAXY,1e-05
51268,,GALAXY,2e-05
64714,,,
13060,,GALAXY,1e-05
80756,,,
82736,STARFORMING,GALAXY,1e-05
54473,,GALAXY,2e-05
38369,,GALAXY,3e-05
38408,,GALAXY,2e-05
22496,,GALAXY,3e-05
29331,,GALAXY,2e-05
73171,STARFORMING,GALAXY,1e-05
71321,STARBURST,GALAXY,1e-05
49011,,GALAXY,2e-05
13735,,GALAXY,2e-05
30469,BROADLINE,GALAXY,2e-05
56549,,,
37422,STARFORMING,GALAXY,2e-05
77075,STARFORMING,GALAXY,1e-05
26143,,GALAXY,3e-05
41226,AGN,GALAXY,2e-05
62041,,,
14885,,GALAXY,3e-05
46714,,GALAXY,1e-05
74005,,,
74004,,,
37412,,,
58313,,GALAXY,1e-05
45970,STARFORMING,GALAXY,2e-05
14863,STARFORMING,GALAXY,1e-05
47863,,,
23337,STARFORMING,GALAXY,3e-05
62054,,,
31995,BROADLINE,GALAXY,2e-05
55036,,GALAXY,1e-05
81870,STARFORMING,GALAXY,1e-05
65334,,,
17831,STARFORMING,GALAXY,1e-05
18077,,GALAXY,2e-05
29360,,,
1110,,GALAXY,2e-05
39684,,,
17242,,,
53609,,GALAXY,1e-05
53590,,GALAXY,2e-05
17240,,,
63259,STARFORMING,GALAXY,2e-05
39568,BROADLINE,GALAXY,1e-05
53654,,,
73251,AGN,GALAXY,1e-05
21890,,GALAXY,3e-05
30816,,,
30718,BROADLINE,GALAXY,1e-05
63389,STARFORMING,GALAXY,1e-05
39588,,,
3942,,GALAXY,3e-05
39811,,,
1085,,GALAXY,3e-05
63326,,GALAXY,3e-05
21827,,GALAXY,2e-05
17253,,GALAXY,1e-05
53649,,,
39571,STARFORMING,GALAXY,2e-05
78806,,GALAXY,1e-05
17166,,GALAXY,3e-05
63336,,GALAXY,2e-05
1944,,,
3951,,GALAXY,1e-05
53648,,,
39762,,,
78742,STARBURST,GALAXY,1e-05
53592,STARFORMING,GALAXY,1e-05
30802,,GALAXY,2e-05
30914,,,
73393,STARFORMING,GALAXY,1e-05
53723,,GALAXY,2e-05
30844,,GALAXY,2e-05
63210,STARFORMING,GALAXY,1e-05
63341,,GALAXY,1e-05
78793,STARFORMING,GALAXY,1e-05
78665,STARFORMING,GALAXY,1e-05
63367,,,
39672,,GALAXY,2e-05
53697,,,
21874,,GALAXY,2e-05
39748,,,
53531,,GALAXY,4e-05
39606,,GALAXY,2e-05
63247,,GALAXY,1e-05
30756,,GALAXY,4e-05
39678,,,
17225,,GALAXY,2e-05
17104,STARFORMING,GALAXY,1e-05
5812,,GALAXY,4e-05
39677,,GALAXY,2e-05
39619,,GALAXY,2e-05
21808,,GALAXY,2e-05
30740,,GALAXY,3e-05
53534,STARFORMING,GALAXY,1e-05
39780,,GALAXY,3e-05
5820,,GALAXY,2e-05
78787,STARFORMING,GALAXY,1e-05
10328,,,
17084,,GALAXY,4e-05
30838,,,
8542,,GALAXY,1e-05
78717,,,
39712,AGN,GALAXY,1e-05
17074,AGN,GALAXY,2e-05
17110,,GALAXY,2e-05
39801,,,
53515,,GALAXY,3e-05
53574,STARBURST,GALAXY,1e-05
53541,,GALAXY,1e-05
30765,,GALAXY,3e-05
63285,,GALAXY,2e-05
73288,,GALAXY,1e-05
73292,,GALAXY,1e-05
39681,,GALAXY,2e-05
1106,,,
78767,,GALAXY,2e-05
53623,STARFORMING,GALAXY,1e-05
17073,,GALAXY,2e-05
16579,,GALAXY,2e-05
78622,STARFORMING,GALAXY,1e-05
10209,,GALAXY,3e-05
17547,,GALAXY,2e-05
12818,STARFORMING,GALAXY,1e-05
73687,,,
54424,,,
73690,,,
54443,,,
54444,,GALAXY,2e-05
54447,,GALAXY,3e-05
62728,STARFORMING,GALAXY,1e-05
38967,,GALAXY,1e-05
21550,,,
8913,,GALAXY,2e-05
12813,AGN,GALAXY,1e-05
38959,,GALAXY,2e-05
31324,,GALAXY,3e-05
31331,,,
17568,,GALAXY,4e-05
17569,,GALAXY,2e-05
38950,,GALAXY,3e-05
54470,,GALAXY,2e-05
54477,,GALAXY,3e-05
62745,AGN,GALAXY,1e-05
54394,,GALAXY,1e-05
73677,,GALAXY,2e-05
31292,,GALAXY,2e-05
62847,,,
12004,,,
31229,,GALAXY,1e-05
21610,,GALAXY,4e-05
31231,,GALAXY,1e-05
31247,,,
10225,,,
39110,,,
5695,,GALAXY,2e-05
73653,,,
21598,,GALAXY,2e-05
54349,AGN,GALAXY,1e-05
62811,,,
31348,,GALAXY,2e-05
62806,,,
78335,,,
4036,,GALAXY,1e-05
31284,,GALAXY,3e-05
5689,,,
17522,,GALAXY,2e-05
8892,BROADLINE,GALAXY,1e-05
62772,,,
39062,,GALAXY,2e-05
78321,,,
62770,,,
31290,,,
78313,STARFORMING,GALAXY,1e-05
54359,STARFORMING,GALAXY,1e-05
78260,STARFORMING,GALAXY,1e-05
62695,,,
78183,,,
17635,BROADLINE,GALAXY,2e-05
62581,STARFORMING,GALAXY,1e-05
54637,,,
54644,,GALAXY,2e-05
21486,STARFORMING,GALAXY,2e-05
38835,STARFORMING,GALAXY,1e-05
21477,,GALAXY,2e-05
54662,,,
54664,BROADLINE,GALAXY,2e-05
54675,,GALAXY,2e-05
78149,STARFORMING,GALAXY,1e-05
62543,BROADLINE,GALAXY,1e-05
31507,STARFORMING,GALAXY,1e-05
21494,,,
756,,GALAXY,3e-05
31520,,,
54692,,GALAXY,3e-05
78140,,GALAXY,3e-05
1854,,,
12788,,,
38777,,GALAXY,2e-05
38771,,GALAXY,2e-05
54718,,GALAXY,2e-05
54719,,GALAXY,3e-05
62462,STARFORMING,GALAXY,2e-05
78124,STARFORMING,GALAXY,1e-05
21438,,,
31567,,GALAXY,2e-05
54687,,,
54307,STARFORMING,GALAXY,1e-05
31461,,,
78247,STARBURST,GALAXY,1e-05
54514,,GALAXY,3e-05
62678,,GALAXY,2e-05
38938,,,
73732,,GALAXY,1e-05
62655,,,
62654,STARFORMING,GALAXY,1e-05
62639,,,
38919,,,
54616,,GALAXY,1e-05
17608,,,
17609,,GALAXY,2e-05
10191,,,
54567,,GALAXY,1e-05
62633,,,
62632,,,
21511,,GALAXY,2e-05
38884,,GALAXY,1e-05
31436,,,
78195,,GALAXY,2e-05
62611,STARFORMING,GALAXY,1e-05
38864,,GALAXY,3e-05
54600,STARFORMING,GALAXY,2e-05
31458,,GALAXY,3e-05
73744,STARBURST,GALAXY,1e-05
73632,,GALAXY,1e-05
21616,,GALAXY,8e-05
54297,,,
3960,,,
5778,,GALAXY,2e-05
17334,,GALAXY,2e-05
1924,BROADLINE,GALAXY,2e-05
53897,,,
31002,,,
39504,,,
3968,,,
31006,,GALAXY,2e-05
53915,,GALAXY,4e-05
8597,,,
8590,,GALAXY,1e-05
21731,,GALAXY,2e-05
39497,,,
39495,,GALAXY,1e-05
53940,BROADLINE,GALAXY,1e-05
53944,STARFORMING,GALAXY,1e-05
31055,AGN,GALAXY,2e-05
39462,,,
39456,,,
5758,,GALAXY,1e-05
683,,GALAXY,2e-05
63028,,,
78500,STARFORMING,GALAXY,1e-05
12857,,GALAXY,2e-05
73442,,GALAXY,1e-05
39964,,GALAXY,1e-05
39557,BROADLINE,GALAXY,2e-05
53754,STARFORMING,GALAXY,1e-05
39552,STARFORMING,GALAXY,2e-05
8577,,GALAXY,3e-05
53771,,,
39526,,GALAXY,2e-05
10272,,GALAXY,3e-05
53788,STARFORMING,GALAXY,1e-05
17269,,GALAXY,3e-05
63166,STARFORMING,GALAXY,1e-05
39515,,,
17278,,GALAXY,3e-05
78602,STARFORMING,GALAXY,2e-05
73437,STARFORMING,GALAXY,1e-05
39996,,,
39993,,GALAXY,2e-05
12866,STARFORMING,GALAXY,1e-05
17284,,GALAXY,1e-05
5790,,GALAXY,2e-05
1930,,GALAXY,3e-05
5789,,GALAXY,2e-05
53822,,,
53826,STARFORMING,GALAXY,1e-05
63141,,GALAXY,2e-05
39981,,,
53833,,,
12862,,,
39452,,,
78492,STARBURST,GALAXY,1e-05
694,,GALAXY,1e-05
39297,,,
78417,STARFORMING,GALAXY,1e-05
62920,,GALAXY,2e-05
62906,,GALAXY,2e-05
31175,,GALAXY,2e-05
31178,,GALAXY,2e-05
17446,,,
31192,,,
54202,,,
62867,,GALAXY,3e-05
5715,,,
39231,,,
78393,STARFORMING,GALAXY,1e-05
62863,,GALAXY,2e-05
17476,BROADLINE,GALAXY,2e-05
21634,,GALAXY,3e-05
31218,,GALAXY,3e-05
39210,,,
78383,,,
78382,STARFORMING,GALAXY,1e-05
21624,,GALAXY,2e-05
39198,,GALAXY,1e-05
39196,,GALAXY,3e-05
73619,STARFORMING,GALAXY,1e-05
78372,STARBURST,GALAXY,1e-05
54144,,GALAXY,3e-05
10237,,GALAXY,2e-05
78491,,GALAXY,2e-05
73504,STARFORMING,GALAXY,2e-05
39821,,GALAXY,2e-05
54030,,GALAXY,2e-05
54037,,,
78475,STARBURST,GALAXY,1e-05
73521,,,
39410,,GALAXY,3e-05
39404,STARFORMING,GALAXY,2e-05
73523,STARFORMING,GALAXY,1e-05
1909,,GALAXY,1e-05
39302,STARFORMING,GALAXY,1e-05
39394,,GALAXY,2e-05
63007,,GALAXY,3e-05
63005,,,
17393,,,
54066,STARFORMING,GALAXY,1e-05
73541,,,
39347,AGN,GALAXY,1e-05
54090,,GALAXY,2e-05
39313,,GALAXY,2e-05
78434,,,
21682,,GALAXY,2e-05
31131,,,
31086,STARFORMING,GALAXY,1e-05
63022,STARFORMING,GALAXY,1e-05
40089,,,
30628,,,
41018,,GALAXY,5e-05
29480,,GALAXY,2e-05
29478,STARFORMING,GALAXY,1e-05
6141,,GALAXY,4e-05
22438,,GALAXY,2e-05
64583,STARFORMING,GALAXY,1e-05
29472,,,
79565,,GALAXY,2e-05
64592,,GALAXY,3e-05
29463,,,
41040,STARFORMING,GALAXY,1e-05
29462,,,
79575,STARFORMING,GALAXY,1e-05
16361,,,
29516,,GALAXY,1e-05
913,,GALAXY,3e-05
64495,STARFORMING,GALAXY,1e-05
72690,STARBURST,GALAXY,1e-05
16382,,GALAXY,3e-05
29568,,GALAXY,2e-05
79531,STARFORMING,GALAXY,2e-05
22421,,GALAXY,1e-05
72680,STARFORMING,GALAXY,1e-05
29547,,GALAXY,2e-05
64537,,GALAXY,1e-05
52347,STARFORMING,GALAXY,1e-05
40985,,,
64551,STARFORMING,GALAXY,1e-05
16365,,,
16372,,,
16344,STARFORMING,GALAXY,2e-05
10536,,GALAXY,3e-05
52266,,GALAXY,3e-05
29410,BROADLINE,GALAXY,2e-05
79613,STARFORMING,GALAXY,1e-05
52210,,,
52194,BROADLINE,GALAXY,1e-05
72593,,GALAXY,2e-05
13057,,GALAXY,3e-05
79611,STARBURST,GALAXY,1e-05
10545,BROADLINE,GALAXY,1e-05
6166,,,
10549,,,
79631,STARFORMING,GALAXY,1e-05
52149,,GALAXY,3e-05
41106,,GALAXY,2e-05
52219,STARBURST,GALAXY,1e-05
52227,,,
41055,,GALAXY,2e-05
16334,,GALAXY,1e-05
10537,,,
41064,,,
64623,,,
22450,,,
52246,,,
41077,,GALAXY,2e-05
41081,STARFORMING,GALAXY,2e-05
29421,STARFORMING,GALAXY,1e-05
13053,,GALAXY,1e-05
41085,,GALAXY,2e-05
72692,,GALAXY,2e-05
79517,,GALAXY,1e-05
40931,,GALAXY,2e-05
8330,,,
29723,,,
52531,,GALAXY,3e-05
64357,,,
29709,,GALAXY,2e-05
52512,STARFORMING,GALAXY,1e-05
29706,,,
6094,STARFORMING,GALAXY,1e-05
52498,,,
16493,,GALAXY,3e-05
40756,,,
40758,,GALAXY,3e-05
40759,STARFORMING,GALAXY,1e-05
29705,,GALAXY,6e-05
72769,STARFORMING,GALAXY,1e-05
52551,,,
40661,AGN,GALAXY,1e-05
79392,STARBURST,GALAXY,1e-05
22291,,GALAXY,2e-05
29767,,GALAXY,3e-05
52587,,,
11865,,GALAXY,2e-05
40684,BROADLINE,GALAXY,1e-05
22297,,,
11864,,,
22298,,,
79413,STARFORMING,GALAXY,1e-05
29689,,GALAXY,4e-05
10552,,GALAXY,2e-05
22326,,GALAXY,2e-05
79447,STARFORMING,GALAXY,1e-05
40873,,,
72720,,GALAXY,2e-05
6117,,,
16435,,,
29613,,,
8335,,,
29623,STARFORMING,GALAXY,1e-05
2079,BROADLINE,GALAXY,1e-05
72709,,GALAXY,1e-05
64480,STARFORMING,GALAXY,1e-05
79504,,GALAXY,2e-05
29605,,GALAXY,2e-05
921,,GALAXY,2e-05
6108,,GALAXY,2e-05
79451,STARFORMING,GALAXY,1e-05
29651,,GALAXY,2e-05
64433,,,
13023,,GALAXY,1e-05
52450,,,
52445,STARBURST,GALAXY,1e-05
29629,,GALAXY,2e-05
52439,,GALAXY,4e-05
6112,,GALAXY,3e-05
64453,,GALAXY,1e-05
22351,STARFORMING,GALAXY,1e-05
52430,STARFORMING,GALAXY,1e-05
79445,STARFORMING,GALAXY,1e-05
79385,,GALAXY,1e-05
64696,,,
8288,,GALAXY,3e-05
29103,,,
41403,,,
3581,,GALAXY,4e-05
51799,,GALAXY,3e-05
16146,,GALAXY,3e-05
10606,,GALAXY,1e-05
79860,STARFORMING,GALAXY,1e-05
51774,STARFORMING,GALAXY,1e-05
64789,,GALAXY,1e-05
79863,STARFORMING,GALAXY,2e-05
51767,,GALAXY,1e-05
29085,,,
72410,STARFORMING,GALAXY,1e-05
16157,,GALAXY,3e-05
51830,STARFORMING,GALAXY,1e-05
79797,,GALAXY,1e-05
10598,,,
6222,,GALAXY,4e-05
51858,,,
625,,GALAXY,3e-05
79810,STARBURST,GALAXY,1e-05
72426,STARBURST,GALAXY,1e-05
79813,STARBURST,GALAXY,1e-05
41379,,GALAXY,2e-05
3588,,,
29137,,GALAXY,1e-05
29133,,GALAXY,2e-05
22608,,GALAXY,1e-05
41373,,GALAXY,3e-05
79873,,,
41440,STARFORMING,GALAXY,1e-05
16128,,GALAXY,2e-05
29035,STARFORMING,GALAXY,3e-05
16092,,,
602,,GALAXY,2e-05
6254,,,
51676,AGN,GALAXY,1e-05
41506,,GALAXY,2e-05
79927,,,
2144,,GALAXY,1e-05
41521,,GALAXY,2e-05
10627,,GALAXY,4e-05
51654,,GALAXY,2e-05
64913,,,
41533,,GALAXY,2e-05
16093,,GALAXY,3e-05
51713,,GALAXY,1e-05
72392,STARFORMING,GALAXY,1e-05
41444,,GALAXY,1e-05
41451,,,
22649,,GALAXY,5e-05
41457,,GALAXY,5e-05
6244,,GALAXY,2e-05
16107,,GALAXY,5e-05
16104,,,
22650,,,
29042,,,
41477,,GALAXY,2e-05
16100,,GALAXY,4e-05
79916,STARBURST,GALAXY,1e-05
72448,STARBURST,GALAXY,1e-05
6218,,,
65128,AGN,GALAXY,1e-05
51868,,,
41225,,,
647,,GALAXY,2e-05
29283,,GALAXY,3e-05
29278,,GALAXY,2e-05
11824,,,
72523,,GALAXY,2e-05
52051,,,
16251,,,
22529,,GALAXY,4e-05
65011,,GALAXY,2e-05
3611,,GALAXY,2e-05
41243,STARFORMING,GALAXY,1e-05
16245,,,
41233,STARFORMING,GALAXY,1e-05
64981,,GALAXY,2e-05
29285,,,
41191,,GALAXY,2e-05
