pair_id,field_kind,field_index,is_catalogued_companion,name,type,z,offset_arcmin
NGC3067-3C232,control,9,False,SDSS J095615.78+305204.9,Q,1.906000018119812,5.383909985727681
NGC3067-3C232,control,9,False,SDSS J095618.86+305237.2,Q,1.1950000524520874,4.540878043548036
NGC3067-3C232,control,9,False,SDSS J095627.73+305043.5,Q,2.7170000076293945,4.6494474455570804
NGC3067-3C232,control,9,False,SDSS J095631.89+305515.4,Q,3.197999954223633,1.172876831800907
NGC3067-3C232,control,9,False,SDSS J095646.94+305249.1,Q,2.2829999923706055,2.974980776078735
NGC3067-3C232,control,10,False,SDSS J095748.86+304837.6,Q,2.134999990463257,5.03444289945078
NGC3067-3C232,control,10,False,SDSS J095750.38+305455.3,Q,1.156000018119812,4.125242851420618
NGC3067-3C232,control,10,False,SDSS J095757.21+305614.4,Q,2.427000045776367,4.321160775579272
NGC3067-3C232,control,10,False,SDSS J095758.94+305439.6,Q,2.134999990463257,2.7361704736065313
NGC3067-3C232,control,10,False,SDSS J095800.24+305648.8,Q,2.0260000228881836,4.666886665278595
NGC3067-3C232,control,10,False,SDSS J095831.69+305213.6,Q,1.5099999904632568,5.710032666231233
NGC3067-3C232,control,11,False,SDSS J100322.87+312712.7,Q,2.0869998931884766,5.8737193155251495
NGC3067-3C232,control,11,False,SDSS J100346.37+312858.9,Q,1.8370000123977661,5.389160037398377
NGC3067-3C232,control,11,False,SDSS J100355.23+312822.6,Q,1.3600000143051147,5.283225931650344
NGC3067-3C232,control,11,False,SDSS J100357.10+312609.1,Q,1.5889999866485596,3.6885390341915523
NGC3067-3C232,control,11,False,SDSS J100411.71+312358.5,Q,1.6349999904632568,5.797592390182862
NGC1073-QSOs,host,-1,False,SDSS J024323.93+012550.1,Q,1.9249999523162842,5.304161530390411
NGC1073-QSOs,host,-1,True,NGC 1073 U2,QX,0.5979999899864197,2.0237845645023786
NGC1073-QSOs,host,-1,True,NGC 1073 U1,QX,1.940999984741211,1.7739679833421285
NGC1073-QSOs,host,-1,True,PKS 0241+011,QRX,1.399999976158142,1.4187529823443914
NGC1073-QSOs,host,-1,False,SDSS J024359.93+012344.0,Q,1.3339999914169312,4.974568213263102
NGC1073-QSOs,control,0,False,SDSS J024710.68+023343.4,Q,1.1720000505447388,2.657854725574859
NGC1073-QSOs,control,0,False,SDSS J024713.23+023108.6,Q,1.225000023841858,5.3114951574708344
NGC1073-QSOs,control,0,False,SDSS J024717.71+024102.4,Q,0.9589999914169312,5.454065587406077
NGC1073-QSOs,control,0,False,SDSS J024720.94+024007.4,Q,0.8790000081062317,5.161008633001456
NGC1073-QSOs,control,0,False,SDSS J024727.44+023402.6,Q,2.4679999351501465,5.488510433598404
NGC1073-QSOs,control,1,False,SDSS J024920.71+012010.0,Q,2.572999954223633,5.656702527696563
NGC1073-QSOs,control,1,False,SDSS J024932.16+011506.3,Q,1.8530000448226929,2.9101364251440116
NGC1073-QSOs,control,1,False,Q 0247+0110,Q,1.031999945640564,5.747902698998984
NGC1073-QSOs,control,1,False,SDSS J024958.84+011338.7,Q,1.1759999990463257,5.910806220620873
NGC1073-QSOs,control,1,False,SDSS J025000.57+011952.1,Q,3.0989999771118164,5.756300064558708
NGC1073-QSOs,control,2,False,SDSS J023927.03+001653.8,QX,1.0119999647140503,1.2777005106945787
NGC1073-QSOs,control,3,False,SDSS J023733.61+010008.6,Q,1.6399999856948853,5.949669156536108
NGC1073-QSOs,control,3,False,SDSS J023749.33+005715.6,Q,3.578000068664551,1.3782836870599626
NGC1073-QSOs,control,3,False,SDSS J023755.45+005205.2,Q,1.8289999961853027,5.347873018577243
NGC1073-QSOs,control,3,False,SDSS J023755.56+005230.8,Q,1.5570000410079956,4.921945318096289
NGC1073-QSOs,control,4,False,SDSS J024725.94+001740.7,Q,2.265000104904175,4.533519688903278
NGC1073-QSOs,control,4,False,SDSS J024727.31+001651.3,Q,1.315999984741211,3.9491016412605697
NGC1073-QSOs,control,4,False,SDSS J024732.58+001740.1,Q,1.6030000448226929,3.0672878348940493
NGC1073-QSOs,control,4,False,SDSS J024738.79+001723.1,Q,1.0110000371932983,1.7565411608218071
NGC1073-QSOs,control,4,False,SDSS J024752.91+001542.3,Q,0.8339999914169312,2.57191398656994
NGC1073-QSOs,control,4,False,SDSS J024754.14+001645.2,Q,1.4570000171661377,2.9898532106714355
NGC1073-QSOs,control,4,False,SDSS J024757.67+001542.4,Q,2.4660000801086426,3.7608848892861197
NGC1073-QSOs,control,4,False,SVA1_COADD-2925392258,Q,1.5709999799728394,5.424852232688159
NGC1073-QSOs,control,5,False,Q 0245+0016,Q,1.031000018119812,4.03628905356826
NGC1073-QSOs,control,5,False,SDSS J024837.05+002447.1,Q,1.972000002861023,5.031387900773237
NGC1073-QSOs,control,5,False,SDSS J024841.35+002552.5,A,1.4550000429153442,4.450336509963974
NGC1073-QSOs,control,5,False,SDSS J024841.82+003044.8,Q,0.5950000286102295,2.705051548790206
NGC1073-QSOs,control,6,False,SDSS J024932.16+011506.3,Q,1.8530000448226929,2.051688144055897
