idx,subCl,spCl,e_zsp
11228,,GALAXY,1e-05
6758,,,
110924,,GALAXY,4e-05
50582,,GALAXY,2e-05
47521,,,
14454,STARFORMING,GALAXY,2e-05
6895,,GALAXY,3e-05
107269,,GALAXY,4e-05
10122,,GALAXY,3e-05
160475,,GALAXY,2e-05
107077,,GALAXY,3e-05
109656,,GALAXY,3e-05
9316,,GALAXY,3e-05
105558,STARFORMING,GALAXY,1e-05
102515,STARBURST,GALAXY,1e-05
111543,,,
109636,,GALAXY,3e-05
103159,STARFORMING,GALAXY,1e-05
138871,STARFORMING,GALAXY,1e-05
13159,,GALAXY,2e-05
9321,STARBURST,GALAXY,1e-05
112493,,GALAXY,3e-05
107275,,,
109633,,GALAXY,3e-05
46486,,GALAXY,5e-05
162625,STARBURST,GALAXY,1e-05
44797,,,
53667,,GALAXY,2e-05
104883,,,
160902,STARFORMING,GALAXY,1e-05
51743,,,
50163,,GALAXY,4e-05
48847,,,
9469,,GALAXY,3e-05
3081,,,
45664,STARFORMING,GALAXY,1e-05
43937,,GALAXY,2e-05
13367,,GALAXY,3e-05
138372,STARFORMING,GALAXY,2e-05
51296,,,
13369,,GALAXY,1e-05
140851,STARFORMING,GALAXY,1e-05
107000,,,
43918,,,
142401,,GALAXY,3e-05
162151,,,
138355,STARFORMING,GALAXY,2e-05
53192,,GALAXY,2e-05
53050,STARFORMING,GALAXY,1e-05
53057,STARFORMING,GALAXY,1e-05
13658,,GALAXY,1e-05
143526,STARFORMING,GALAXY,1e-05
48642,,,
144511,,GALAXY,7e-05
105635,,,
13770,BROADLINE,GALAXY,2e-05
106499,,GALAXY,2e-05
111714,STARFORMING,GALAXY,1e-05
45295,,,
43932,,GALAXY,3e-05
49442,,GALAXY,2e-05
10115,,GALAXY,2e-05
110062,,GALAXY,2e-05
49712,,GALAXY,2e-05
13402,,,
141304,STARFORMING,GALAXY,1e-05
139683,STARFORMING,GALAXY,1e-05
111094,,GALAXY,4e-05
46243,,,
47131,,,
142372,STARFORMING,GALAXY,1e-05
15012,,,
103601,STARFORMING,GALAXY,1e-05
44190,,GALAXY,3e-05
53529,,GALAXY,4e-05
48681,STARFORMING,GALAXY,1e-05
107006,,,
9876,,,
48604,,,
52829,,GALAXY,4e-05
100530,,,
107808,,,
45389,,GALAXY,1e-05
49343,,GALAXY,3e-05
13661,,,
44541,STARFORMING,GALAXY,1e-05
110426,,GALAXY,2e-05
46141,,GALAXY,3e-05
140866,,,
109499,,GALAXY,3e-05
103813,STARBURST,GALAXY,1e-05
12370,,GALAXY,4e-05
108732,STARFORMING,GALAXY,1e-05
161268,,GALAXY,1e-05
10561,,GALAXY,3e-05
14679,,GALAXY,3e-05
101535,,,
111824,STARFORMING,GALAXY,1e-05
103394,STARFORMING,GALAXY,1e-05
49977,STARFORMING,GALAXY,2e-05
105370,,GALAXY,2e-05
142201,,GALAXY,3e-05
139749,STARFORMING,GALAXY,1e-05
51546,,,
141520,,GALAXY,1e-05
161929,STARBURST,GALAXY,1e-05
142871,STARFORMING,GALAXY,1e-05
160744,,,
111880,,GALAXY,4e-05
111202,,,
110655,,GALAXY,2e-05
161938,STARBURST,GALAXY,1e-05
11586,,GALAXY,3e-05
14232,,,
54466,,GALAXY,1e-05
54462,,GALAXY,1e-05
51576,,,
112197,,,
14730,STARFORMING,GALAXY,2e-05
44846,,GALAXY,2e-05
143101,,,
12797,,,
43610,STARFORMING,GALAXY,1e-05
103012,,,
108494,,,
141888,,GALAXY,2e-05
51474,,,
99690,AGN,GALAXY,2e-05
45932,STARFORMING,GALAXY,1e-05
45516,,GALAXY,2e-05
43413,,GALAXY,3e-05
44945,,GALAXY,1e-05
102969,,GALAXY,2e-05
110768,,GALAXY,4e-05
111761,,,
49056,STARFORMING,GALAXY,1e-05
101544,,GALAXY,3e-05
6906,,GALAXY,2e-05
43415,STARFORMING,GALAXY,1e-05
48908,,GALAXY,3e-05
4026,,,
14273,,GALAXY,2e-05
104215,,GALAXY,2e-05
49498,STARFORMING,GALAXY,1e-05
160769,,GALAXY,3e-05
46376,STARFORMING,GALAXY,3e-05
51414,STARFORMING,GALAXY,1e-05
49999,,GALAXY,1e-05
51403,,GALAXY,4e-05
47897,,GALAXY,3e-05
104136,,GALAXY,4e-05
140071,,GALAXY,3e-05
140179,STARBURST,GALAXY,1e-05
54786,AGN,GALAXY,1e-05
104178,,,
161503,STARFORMING,GALAXY,1e-05
142836,,,
9687,,GALAXY,2e-05
49098,,,
42894,,GALAXY,1e-05
101318,,GALAXY,4e-05
2607,,,
138994,STARBURST,GALAXY,1e-05
50149,BROADLINE,GALAXY,2e-05
107511,,,
140343,,,
14627,,GALAXY,3e-05
43601,,GALAXY,3e-05
45462,STARFORMING,GALAXY,1e-05
45896,STARFORMING,GALAXY,1e-05
161349,STARFORMING,GALAXY,1e-05
160062,,,
160065,,GALAXY,1e-05
10399,,GALAXY,2e-05
48027,,,
8928,,,
145756,,GALAXY,2e-05
161288,STARFORMING,GALAXY,1e-05
43672,,GALAXY,2e-05
162360,STARFORMING,GALAXY,1e-05
44856,,GALAXY,3e-05
112876,,,
50592,BROADLINE,GALAXY,2e-05
47765,STARFORMING,GALAXY,1e-05
12992,,GALAXY,2e-05
4042,,,
47058,,,
10353,,,
104432,,GALAXY,2e-05
143872,,,
108635,STARFORMING,GALAXY,1e-05
139770,STARFORMING,GALAXY,1e-05
14588,,GALAXY,3e-05
45045,,GALAXY,2e-05
53855,STARFORMING,GALAXY,1e-05
139539,,,
5467,,,
67481,,,
68810,STARFORMING,GALAXY,1e-05
6571,,GALAXY,3e-05
68773,STARFORMING,GALAXY,1e-05
49480,,,
130512,STARFORMING,GALAXY,2e-05
68877,,,
68774,,,
5481,STARFORMING,GALAXY,1e-05
67548,,GALAXY,4e-05
512,,,
130601,STARFORMING,GALAXY,1e-05
141085,,,
68839,STARBURST,GALAXY,1e-05
130594,STARFORMING,GALAXY,2e-05
130602,STARFORMING,GALAXY,1e-05
130603,STARFORMING,GALAXY,1e-05
49488,,,
68861,,GALAXY,2e-05
68862,,,
130527,,GALAXY,2e-05
67532,,,
68797,AGN,GALAXY,2e-05
49486,,GALAXY,2e-05
67522,STARFORMING,GALAXY,1e-05
130531,STARBURST,GALAXY,1e-05
130516,STARBURST,GALAXY,1e-05
130538,,,
67489,AGN,GALAXY,3e-05
141038,,GALAXY,1e-05
67549,,,
130591,,,
68779,,GALAXY,2e-05
