id,ra_deg,dec_deg,cz_kms,glat_deg
12064076-2945366,181.66989,-29.76021,1884.0,32.11252176093986
13363905-3357572,204.16269,-33.96588,3737.0,27.97297385326863
08533275+5118489,133.38644,51.31358,692.0,39.679850473991046
11313199-3018278,172.8833,-30.30774,1776.0,29.47300406768061
19112363-5702584,287.84848,-57.04957,3166.0,-25.133725396492963
12342031+0811519,188.58463,8.19776,1964.0,70.64135313223657
13211286-4342168,200.30356,-43.70469,3421.0,18.83845938326521
10474239+1359083,161.92667,13.98564,665.0,58.31810645084384
22571357-4323461,344.30655,-43.39614,1689.0,-61.80080893419794
12070312+4303554,181.76303,43.06539,807.0,71.69676163419278
15052627+0205576,226.35944,2.09932,1359.0,49.31931988042056
03235639-3627527,50.98499,-36.46466,1266.0,-56.51756532920385
12363429+1114190,189.14288,11.23863,2232.0,73.73060124286557
10181698+4125277,154.57077,41.42438,592.0,55.63786824518811
12012689+6153445,180.36205,61.8957,1445.0,54.24660957124198
23161076-4235053,349.04486,-42.58483,1600.0,-65.23591671157715
05264761-6345360,81.69839,-63.76002,1100.0,-33.438522987924806
12223204+2953432,185.6335,29.89532,963.0,83.0756112057438
13054892-0801135,196.45383,-8.02041,1407.0,54.67917446739874
11592518+5057420,179.85495,50.96169,930.0,64.20373987744154
13532674+4016592,208.36134,40.28308,2325.0,71.6334543876532
12493895+1509557,192.41232,15.16549,1125.0,78.03000857682528
12211289+1822566,185.30371,18.3824,900.0,78.82486950521923
00344675-0823473,8.69484,-8.39644,1685.0,-70.85773577363149
12482293+0829140,192.0955,8.4873,1009.0,71.34502622071132
01485731+0554215,27.23879,5.90598,1506.0,-54.155793181736065
19433447-5839207,295.89349,-58.65571,2107.0,-29.59366977173409
09104945-0853265,137.70609,-8.8907,1819.0,25.59076678517931
10433114+2455199,160.87979,24.92222,580.0,61.254925441496574
10213507-3416004,155.39616,-34.2668,2858.0,19.090663719542466
11531372+6040320,178.30719,60.67556,1259.0,55.029412762503
12342712+0211163,188.61304,2.18788,1808.0,64.72993310934177
11583141+4356492,179.63091,43.94702,835.0,70.08883037751151
12155089+4705304,183.96208,47.09179,1027.0,68.84680542618524
