pair_id,profile,x,a_int_x,phi_x
NGC4258-QSOs,exponential,0.5125628140703518,0.7482725451966867,0.2899880021363401
NGC4258-QSOs,exponential,0.5175879396984925,0.7475325978826144,0.2909773654606385
NGC4258-QSOs,exponential,0.5226130653266332,0.7468073753973885,0.29194799136254884
NGC4258-QSOs,exponential,0.5276381909547738,0.7460965847193568,0.2929002170257245
NGC4258-QSOs,exponential,0.5326633165829145,0.7453999386579493,0.29383437423112074
NGC4258-QSOs,exponential,0.5376884422110553,0.7447171557376406,0.2947507894184386
NGC4258-QSOs,exponential,0.542713567839196,0.744047960084222,0.29564978374786843
NGC4258-QSOs,exponential,0.5477386934673367,0.7433920813133355,0.2965316731620842
NGC4258-QSOs,exponential,0.5527638190954774,0.7427492544212266,0.2973967684484373
NGC4258-QSOs,exponential,0.5577889447236181,0.7421192196776726,0.2982453753013042
NGC4258-QSOs,exponential,0.5628140703517588,0.7415017225210381,0.29907779438454496
NGC4258-QSOs,exponential,0.5678391959798995,0.7408965134554226,0.29989432139402566
NGC4258-QSOs,exponential,0.5728643216080402,0.7403033479498526,0.30069524712016765
NGC4258-QSOs,exponential,0.577889447236181,0.7397219863394804,0.3014808575104817
NGC4258-QSOs,exponential,0.5829145728643216,0.7391521937287487,0.30225143373205043
NGC4258-QSOs,exponential,0.5879396984924623,0.7385937398964835,0.30300725223392316
NGC4258-QSOs,exponential,0.592964824120603,0.7380463992028732,0.3037485848093889
NGC4258-QSOs,exponential,0.5979899497487438,0.7375099504983016,0.3044756986580942
NGC4258-QSOs,exponential,0.6030150753768845,0.7369841770339931,0.3051888564479759
NGC4258-QSOs,exponential,0.6080402010050251,0.7364688663744368,0.3058883163769788
NGC4258-QSOs,exponential,0.6130653266331658,0.7359638103115527,0.3065743322345298
NGC4258-QSOs,exponential,0.6180904522613065,0.735468804780568,0.3072471534627412
NGC4258-QSOs,exponential,0.6231155778894473,0.7349836497775644,0.3079070252173212
NGC4258-QSOs,exponential,0.628140703517588,0.7345081492786685,0.3085541884281633
NGC4258-QSOs,exponential,0.6331658291457286,0.7340421111608495,0.30918887985959465
NGC4258-QSOs,exponential,0.6381909547738693,0.7335853471242932,0.3098113321702616
NGC4258-QSOs,exponential,0.6432160804020101,0.7331376726163203,0.31042177397263243
