idx,e_zsp,f_zsp,spCl,angDist
27637,2e-05,0,GALAXY,0.0
129631,1e-05,0,GALAXY,0.0
79889,,0,,0.0
79338,3e-05,0,GALAXY,0.0
33147,4e-05,0,GALAXY,0.0
70848,2e-05,0,GALAXY,0.0
79346,2e-05,0,GALAXY,0.0
123942,,0,,0.0
27516,2e-05,0,GALAXY,0.0
123907,1e-05,0,GALAXY,0.0
27461,2e-05,0,GALAXY,0.0
79018,3e-05,0,GALAXY,0.0
129429,3e-05,0,GALAXY,0.0
27438,,0,,0.0
123866,1e-05,0,GALAXY,0.0
123816,1e-05,0,GALAXY,0.0
153092,,0,,0.0
33614,1e-05,0,GALAXY,0.0
78791,2e-05,0,GALAXY,0.0
153116,3e-05,0,GALAXY,0.0
149323,1e-05,0,GALAXY,0.0
152106,1e-05,0,GALAXY,0.0
77683,,0,,0.0
73097,,0,,0.0
151716,1e-05,0,GALAXY,0.0
75721,3e-05,0,GALAXY,0.0
73389,3e-05,0,GALAXY,0.0
126923,1e-05,0,GALAXY,0.0
30391,2e-05,0,GALAXY,0.0
75024,3e-05,0,GALAXY,0.0
30967,3e-05,0,GALAXY,0.0
75006,1e-05,0,GALAXY,0.0
126545,2e-05,0,GALAXY,0.0
126514,1e-05,0,GALAXY,0.0
74875,,0,,0.0
126482,1e-05,0,GALAXY,0.0
75981,,0,,0.0
29872,2e-05,0,GALAXY,0.0
74851,2e-05,0,GALAXY,0.0
29871,,0,,0.0
74754,2e-05,0,GALAXY,0.0
127867,,0,,0.0
30907,2e-05,0,GALAXY,0.0
75706,4e-05,0,GALAXY,0.0
126887,1e-05,0,GALAXY,0.0
73827,3e-05,0,GALAXY,0.0
126177,2e-05,0,GALAXY,0.0
73840,3e-05,0,GALAXY,0.0
73875,3e-05,0,GALAXY,0.0
74118,,0,,0.0
127170,,0,,0.0
29354,,0,,0.0
76134,1e-05,0,GALAXY,0.0
29318,1e-05,0,GALAXY,0.0
126300,2e-05,0,GALAXY,0.0
29300,,0,,0.0
126343,,0,,0.0
75512,1e-05,0,GALAXY,0.0
75528,,0,,0.0
152343,1e-05,0,GALAXY,0.0
31369,,0,,0.0
30154,1e-05,0,GALAXY,0.0
74542,3e-05,0,GALAXY,0.0
29826,2e-05,0,GALAXY,0.0
125222,1e-05,0,GALAXY,0.0
127601,4e-05,0,GALAXY,0.0
71295,2e-05,0,GALAXY,0.0
28601,1e-05,0,GALAXY,0.0
71266,3e-05,0,GALAXY,0.0
71218,2e-05,0,GALAXY,0.0
127710,1e-05,0,GALAXY,0.0
77258,1e-05,0,GALAXY,0.0
128500,3e-05,0,GALAXY,0.0
125662,1e-05,0,GALAXY,0.0
152722,1e-05,0,GALAXY,0.0
128620,1e-05,0,GALAXY,0.0
71926,,0,,0.0
128663,3e-05,0,GALAXY,0.0
28708,,0,,0.0
124982,2e-05,0,GALAXY,0.0
77603,,0,,0.0
77604,3e-05,0,GALAXY,0.0
125654,1e-05,0,GALAXY,0.0
152851,1e-05,0,GALAXY,0.0
127592,,0,,0.0
71299,2e-05,0,GALAXY,0.0
3419,3e-05,0,GALAXY,0.0
75214,1e-05,0,GALAXY,0.0
72589,2e-05,0,GALAXY,0.0
960,2e-05,0,GALAXY,0.0
29756,5e-05,0,GALAXY,0.0
127343,,0,,0.0
31549,2e-05,0,GALAXY,0.0
125595,,0,,0.0
72828,,0,,0.0
76774,2e-05,0,GALAXY,0.0
29448,3e-05,0,GALAXY,0.0
72678,2e-05,0,GALAXY,0.0
125433,1e-05,0,GALAXY,0.0
76671,2e-05,0,GALAXY,0.0
127520,,0,,0.0
4880,2e-05,0,GALAXY,0.0
125270,3e-05,0,GALAXY,0.0
76758,1e-05,0,GALAXY,0.0
4883,3e-05,0,GALAXY,0.0
152009,1e-05,0,GALAXY,0.0
33791,,0,,0.0
80787,,0,,0.0
130369,,0,,0.0
85095,,0,,0.0
7091,2e-05,0,GALAXY,0.0
84059,2e-05,0,GALAXY,0.0
84102,2e-05,0,GALAXY,0.0
84134,1e-05,0,GALAXY,0.0
66328,4e-05,0,GALAXY,0.0
121994,1e-05,0,GALAXY,0.0
84198,,0,,0.0
66319,2e-05,0,GALAXY,0.0
120385,3e-05,0,GALAXY,0.0
155254,2e-05,0,GALAXY,0.0
85993,1e-05,0,GALAXY,0.0
84476,2e-05,0,GALAXY,0.0
84510,2e-05,0,GALAXY,0.0
148919,1e-05,0,GALAXY,0.0
84584,3e-05,0,GALAXY,0.0
36368,,0,,0.0
65810,,0,,0.0
5585,4e-05,0,GALAXY,0.0
65903,1e-05,0,GALAXY,0.0
84391,2e-05,0,GALAXY,0.0
122563,1e-05,0,GALAXY,0.0
24773,,0,,0.0
67013,4e-05,0,GALAXY,0.0
83411,1e-05,0,GALAXY,0.0
66913,4e-05,0,GALAXY,0.0
83444,1e-05,0,GALAXY,0.0
85106,1e-05,0,GALAXY,0.0
122409,1e-05,0,GALAXY,0.0
23492,,0,,0.0
131084,3e-05,0,GALAXY,0.0
85166,3e-05,0,GALAXY,0.0
85290,2e-05,0,GALAXY,0.0
85291,1e-05,0,GALAXY,0.0
85302,,0,,0.0
121108,2e-05,0,GALAXY,0.0
66726,1e-05,0,GALAXY,0.0
83649,4e-05,0,GALAXY,0.0
84957,,0,,0.0
67227,1e-05,0,GALAXY,0.0
824,2e-05,0,GALAXY,0.0
65977,1e-05,0,GALAXY,0.0
120521,1e-05,0,GALAXY,0.0
87511,,0,,0.0
155350,1e-05,0,GALAXY,0.0
37240,3e-05,0,GALAXY,0.0
86112,1e-05,0,GALAXY,0.0
427,2e-05,0,GALAXY,0.0
86211,3e-05,0,GALAXY,0.0
132652,2e-05,0,GALAXY,0.0
119705,1e-05,0,GALAXY,0.0
23574,1e-05,0,GALAXY,0.0
132213,,0,,0.0
63909,1e-05,0,GALAXY,0.0
155475,1e-05,0,GALAXY,0.0
22757,2e-05,0,GALAXY,0.0
7958,1e-05,0,GALAXY,0.0
87606,1e-05,0,GALAXY,0.0
22739,2e-05,0,GALAXY,0.0
155508,1e-05,0,GALAXY,0.0
37362,2e-05,0,GALAXY,0.0
22690,1e-05,0,GALAXY,0.0
84321,1e-05,0,GALAXY,0.0
87501,2e-05,0,GALAXY,0.0
65364,2e-05,0,GALAXY,0.0
65289,,0,,0.0
65285,3e-05,0,GALAXY,0.0
120498,3e-05,0,GALAXY,0.0
23461,2e-05,0,GALAXY,0.0
85663,1e-05,0,GALAXY,0.0
85742,1e-05,0,GALAXY,0.0
132108,3e-05,0,GALAXY,0.0
120196,,0,,0.0
120183,5e-05,0,GALAXY,0.0
154947,1e-05,0,GALAXY,0.0
65160,3e-05,0,GALAXY,0.0
23317,2e-05,0,GALAXY,0.0
86778,,0,,0.0
23307,3e-05,0,GALAXY,0.0
65490,3e-05,0,GALAXY,0.0
120108,3e-05,0,GALAXY,0.0
87374,1e-05,0,GALAXY,0.0
120090,1e-05,0,GALAXY,0.0
87423,4e-05,0,GALAXY,0.0
23378,3e-05,0,GALAXY,0.0
37420,2e-05,0,GALAXY,0.0
122591,0.0,0,GALAXY,0.0
84243,,0,,0.0
122194,,0,,0.0
153735,1e-05,0,GALAXY,0.0
149195,,0,,0.0
81924,3e-05,0,GALAXY,0.0
153783,0.0,0,GALAXY,0.0
153811,1e-05,0,GALAXY,0.0
25682,1e-05,0,GALAXY,0.0
5419,1e-05,0,GALAXY,0.0
121802,3e-05,0,GALAXY,0.0
68401,3e-05,0,GALAXY,0.0
7176,,0,,0.0
121665,2e-05,0,GALAXY,0.0
149063,2e-05,0,GALAXY,0.0
25150,2e-05,0,GALAXY,0.0
5048,3e-05,0,GALAXY,0.0
121396,2e-05,0,GALAXY,0.0
81693,4e-05,0,GALAXY,0.0
25780,4e-05,0,GALAXY,0.0
34435,1e-05,0,GALAXY,0.0
69163,,0,,0.0
34415,,0,,0.0
26266,,0,,0.0
152906,,0,,0.0
69785,1e-05,0,GALAXY,0.0
81092,4e-05,0,GALAXY,0.0
123264,,0,,0.0
26125,2e-05,0,GALAXY,0.0
69673,2e-05,0,GALAXY,0.0
81164,,0,,0.0
